Gene	Upregulated	Function		
DSP	Endo	ARVC		
PKP2	Endo	ARVC		
DSG2	Endo	ARVC		
DSC2	Endo	ARVC		
DES	Endo	ARVC		
JUP	Endo	ARVC		
TMEM43	Endo	ARVC		
RYR2	Endo	ARVC		
TTN	Endo	ARVC		
PLN	Endo	ARVC		
LMNA	Endo	ARVC		
CTNN3	Endo	ARVC		
SCNA5A	Endo	ARVC		
LDB3	Endo	ARVC		
KCNQ1	Endo	ARVC		
GJA1	Endo	ARVC		
TGFB3	Endo	ARVC		
SCD1	Endo	Metab		
LEP	Endo	Metab		
ADPN	Endo	Metab		
DGAT2	Endo	Metab		
GPAM	Endo	Metab		
SREBF1	Endo	Metab		
FABP	Endo	Metab		
PPARGC1A	Endo	Metab		
PPARA	Endo	Metab		
PPARG	Endo	Metab		
CPT1	Endo	Metab		
FAS	Endo	Metab		
PEPCK	Endo	Metab		
ACAT	Endo	Metab		
ACAA	Endo	Metab		
ACOX	Endo	Metab		
ACAD	Endo	Metab		
ALDH	Endo	Metab		
PDH	Endo	Metab		
PYK	Endo	Metab		
G6PD	Endo	Metab		
ACC	Endo	Metab		
NPPA	Epi	Stress 		
NPPB	Epi	Stress 		
MYH6	Epi	Stress 		
MYH7	Epi	Stress 		
ATP5G3	Epi	Stress 		
FASL	Epi	Apoptotic		
CD95	Epi	Apoptotic		
TRADD	Epi	Apoptotic		
FADD	Epi	Apoptotic		
TNFR1	Epi	Apoptotic		
TNFR2	Epi	Apoptotic		
CASP	Epi	Apoptotic		
BAX	Epi	Apoptotic		
BID	Epi	Apoptotic		
BAK	Epi	Apoptotic		
BAD	Epi	Apoptotic		
BCLX	Epi	Apoptotic		
BCL2	Epi	Apoptotic		
CD4	Epi	Inflammatory		
CD8	Epi	Inflammatory		
CD68	Epi	Inflammatory		
CD45	Epi	Inflammatory		
IL1	Epi	Inflammatory		
IL2	Epi	Inflammatory		
IL6	Epi	Inflammatory		
IL15	Epi	Inflammatory		
COL1A2	Epi	Fibrosis		
COL3A1	Epi	Fibrosis		
SPARC	Epi	Fibrosis		
FSTL1	Epi	Fibrosis		
COL1A1	Epi	Fibrosis		
FN1	Epi	Fibrosis		
VIM	Epi	Fibrosis		
POSTN	Epi	Fibrosis		
TGFB1	Epi	Wnt		
LGR5	Epi	Wnt		
TCF7	Epi	Wnt		
LRP1	Epi	Wnt		
DKK	Epi	Wnt		
SOX9	Epi	Wnt		
CTNNB1	Epi	Wnt		
PTGS2	Epi	Wnt		
CCND1	Epi	Wnt		
MMP9	Epi	Wnt		
AXIN2	Epi	Wnt		
GSK3	Epi	Wnt		
BMI1	Epi	Wnt		
HOPX	Epi	Wnt		
IRIG1	Epi	Wnt		
TERT	Epi	Wnt		
RSPO	Epi	Wnt		
LRP5	Epi	Wnt		
SFRP1	Epi	Wnt		
WISP2	Epi	Wnt		
CTHRC1	Epi	Wnt		
WNT1	Epi	Wnt		
WNT3A	Epi	Wnt		
